url,title,author,date,text,paragraph
https://elpais.com/deportes/2017/10/20/actualidad/1508510590_014924.html,Ultras del Feyenoord usan a dos niños víctimas del Holocausto para atacar al Ajax,Isabel Ferrer,2017-10-20T17:10:16+02:00,"La rivalidad futbolística ha cruzado la línea más roja en Holanda. Para burlarse de sus rivales del Ajax, el club de fútbol de Ámsterdam, unos hinchas del Feyenoord, de Róterdam, han colgado en Instagram la imagen de dos niños judíos con sendas estrellas de David cosidas en la ropa. Sobre la foto, que ha sido luego compartida en Twitter, aparece el siguiente hashtag: #anti020week. La cifra es el prefijo telefónico de la capital holandesa, al que acompaña un mensaje que dice así: “Cuando el 020 solo tenía una estrella”, en alusión a la estrella de David con la que los nazis obligaban a identificarse a los judíos y las estrellas que adornan las camisetas de lo clubes por cada 10 Ligas ganadas. Ambos se enfrentarán este domingo en la ciudad portuaria, y la directiva del Feyenoord ha calificado el mensaje de cobarde.",1
https://elpais.com/deportes/2017/10/20/actualidad/1508510590_014924.html,Ultras del Feyenoord usan a dos niños víctimas del Holocausto para atacar al Ajax,Isabel Ferrer,2017-10-20T17:10:16+02:00,"Aunque será difícil encontrar al autor material de los hechos, la imagen proviene de feyenoordnews.010, una cuenta utilizada por sus hinchas. La foto original desapareció enseguida de Internet, pero circula todavía por Twitter. “Es repugnante”, ha dicho Ron van der Wieken, presidente del centro que reúne a las asociaciones judías holandesas. “Esto supera la pugna futbolística y el hecho mismo de hablar de judíos y antisemitas: es propio de desalmados sin el menor respeto. Nos gustaría saber quién es el héroe que lo firma, porque quizá no sea punible, que ya veremos, pero está falto por completo de solidaridad. Entretanto el autor se esconde tras el anonimato de la web, donde se ocultan otros monstruos”, ha añadido este viernes.",2
https://elpais.com/deportes/2017/10/20/actualidad/1508510590_014924.html,Ultras del Feyenoord usan a dos niños víctimas del Holocausto para atacar al Ajax,Isabel Ferrer,2017-10-20T17:10:16+02:00,"El Ajax es el club de Ámsterdam y su asociación con la población de ascendencia judía se remonta al hecho de que al menos 80.000 vivían en la ciudad antes de la II Guerra Mundial. Su estadio hasta los años noventa era De Meer, y estaba situado al este urbano, la zona con la mayor concentración de estos vecinos. Durante la década de los setenta, el equipo fue a menudo objeto de insultos antisemitas durante los encuentros. Todavía ahora, cuando sus propios seguidores gritan desde las gradas ´judíos, judíos´, “lo hacen para levantar el ánimo de los jugadores, sin ninguna otra referencia”, ha dicho Hans Knoop, experto holandés en combatir el antisemitismo en el fútbol. Uno de los cánticos entonados por los hinchas del Feyenoord, a modo de respuesta, reza así: “Hamás, Hamás, los judíos a [la cámara de] gas”.",3
https://elpais.com/deportes/2017/10/20/actualidad/1508510590_014924.html,Ultras del Feyenoord usan a dos niños víctimas del Holocausto para atacar al Ajax,Isabel Ferrer,2017-10-20T17:10:16+02:00,"Si bien los gritos groseros y antisemitas suelen ser tolerados, con gran malestar, en ambas ciudades, las fotos con niños superan estos límites no escritos. Sobre todo porque los dos pequeños retratados no son modelos. Se llamaban Avram y Emanuel Rosenthal, eran hermanos y tenían 5 y 2 años, respectivamente. Fueron asesinados por los nazis en 1944, poco después de haber sido sacados del gueto de Kovno, en Lituania. Murieron en el campo de concentración de Majdanek, en Polonia.",4
https://elpais.com/deportes/2017/10/20/actualidad/1508510590_014924.html,Ultras del Feyenoord usan a dos niños víctimas del Holocausto para atacar al Ajax,Isabel Ferrer,2017-10-20T17:10:16+02:00,"La directiva del Feyenoord se ha distanciado de lo ocurrido recordando que el club “lucha contra el antisemitismo todo el año y apoya proyectos en este sentido, entre otras con la Fundación Ana Frank”. Si bien admiten que el mensaje, “no ha llegado a todas partes”, se preguntan si los autores son en verdad aficionados suyos. “No los llamaríamos seguidores nuestros, teniendo en cuenta la cobardía. Y además, tanto entre nuestro personal como en las gradas del Feyenoord hay gente de ascendencia judía”, según sus portavoces.",5
https://politica.elpais.com/politica/2017/10/20/actualidad/1508506425_813840.html,"“Las elecciones en Cataluña serán en enero, pero es ‘off the record’, ¿eh?”",Jesús Ruiz Mantilla,2017-10-20T17:11:58+02:00,"Que en un día como este viernes 20 de octubre, el de la entrega de los Premios Princesa de Asturias, Oviedo iba a estar mirando a Cataluña, quedaba fuera de duda. Lo que nadie esperaba es que se fueran a poner patas arriba normas del periodismo clásico como el off the record. Hasta este día, dicho concepto, siempre líquido y algo esquivo que alguien al final se acaba saltando, era lo que te comentaban en confianza o a micrófono cerrado, en esa complicidad que necesitan los análisis, aquellos personajes de relevancia que querían transmitir un mensaje. Albert Rivera, líder de Ciudadanos, inventó por la mañana un nuevo mantra: podríamos llamarlo preverdad y no es otra cosa que el off the record rodeado de cámaras, micrófonos y en un espacio tan íntimo como el hall del Hotel Reconquista, algo así como la plaza mayor de cualquier ciudad, pero con alfombras.",1
https://politica.elpais.com/politica/2017/10/20/actualidad/1508506425_813840.html,"“Las elecciones en Cataluña serán en enero, pero es ‘off the record’, ¿eh?”",Jesús Ruiz Mantilla,2017-10-20T17:11:58+02:00,"Así que Rivera entró y poco menos que sacó un megáfono para pregonarlo: “Las elecciones en Cataluña serán en enero, pero es off the record, eh. Quien lo tiene que decir es el presidente del Gobierno”, soltó. Vale… Luego pasó a explicar la estrategia de la fecha: “Como no podemos convocarlo en navidades, lo más próximo es eso”. Resuelto pues el dilema que había dado de comer a las webs, las cadenas de radio y televisiones buena parte de la mañana. ¿Creía realmente que su off the record iba a durar algo más de 10 minutos?",2
https://politica.elpais.com/politica/2017/10/20/actualidad/1508506425_813840.html,"“Las elecciones en Cataluña serán en enero, pero es ‘off the record’, ¿eh?”",Jesús Ruiz Mantilla,2017-10-20T17:11:58+02:00,"Es más o menos lo que tardamos los periodistas en romperlo. A saco, como ven. Y con razón. Los límites de la comunicación política y el oficio no pueden llevarse tan lejos. Luego llegó Ana Pastor, de blanco, y salió más ilesa del acoso. Con una proverbial discreción gallega: “No me corresponde a mí convocar elecciones”, dijo. “No es que no les responda porque no les tenga simpatía, pero es que preguntan unas cosas…”.",3
https://politica.elpais.com/politica/2017/10/20/actualidad/1508506425_813840.html,"“Las elecciones en Cataluña serán en enero, pero es ‘off the record’, ¿eh?”",Jesús Ruiz Mantilla,2017-10-20T17:11:58+02:00,"En espacio de dos horas, el patio de Reconquista había vivido entre sus sofás un salto cualitativo dentro de la crisis catalana. A eso de las once, Javier Fernández, presidente del Principado y guardián del PSOE antes de las pasadas primarias, hablaba del artículo 155 de la Constitución. Dos horas después, Rivera entraba y ya en su mente, había aplicado por la vía rápida el artículo para situarse en el escenario siguiente. Como una bala. ¡Halehop!",4
https://politica.elpais.com/politica/2017/10/20/actualidad/1508506425_813840.html,"“Las elecciones en Cataluña serán en enero, pero es ‘off the record’, ¿eh?”",Jesús Ruiz Mantilla,2017-10-20T17:11:58+02:00,"A 20 metros, Miguel Ángel Revilla, el presidente de Cantabria, templaba: “Ya lo dije yo hace seis años, que el mayor problema que tenía España en el horizonte no eran el paro o la crisis, siempre coyunturales. Era Cataluña. Sobre todo desde que Mariano [Rajoy] empezó a coger firmas contra el Estatut. Aquello fue una barbaridad. Pero todo ha sido tal disparate que ahora, aquí estamos, prietas las filas. A apoyar al Rey”.",5
https://politica.elpais.com/politica/2017/10/20/actualidad/1508506425_813840.html,"“Las elecciones en Cataluña serán en enero, pero es ‘off the record’, ¿eh?”",Jesús Ruiz Mantilla,2017-10-20T17:11:58+02:00,"No había duda: los políticos robaron el foco a los premiados, fueran estos de la disciplina que fueran: físicos eminentes, artistas, escritores… Las estrellas de los premios en el ambiente previo eran los tres líderes de la Unión Europea: el equipo formado por Jean-Claude Juncker, Donald Tusk y Antonio Tajani. Llegaban a trío, no sólo para recoger el premio de la concordia. Principalmente a dar un espaldarazo sin fisuras al Rey y al Gobierno en torno a la unidad de España. Así lo reconocía Rivera también y así lo respiraban los asistentes.",6
https://politica.elpais.com/politica/2017/10/20/actualidad/1508506425_813840.html,"“Las elecciones en Cataluña serán en enero, pero es ‘off the record’, ¿eh?”",Jesús Ruiz Mantilla,2017-10-20T17:11:58+02:00,"El padre Ángel, fundador de Mensajeros de la Paz, sin embargo, aplicaba distancia. ¿Espera algún milagro para Cataluña, padre? “Todo se arreglará. Hemos vivido tiempos de división peores que no hace falta que recuerde. Así que esto, con fe, y entendiéndonos, también se arreglará”. Luego sacó del bolsillo un llavero con la imagen de la Santina –la virgen de Covadonga- y lo fue regalando. “Toma, para que te proteja”. Si Dios quiere, padre. Amén.",7
https://elpais.com/internacional/2017/10/20/actualidad/1508503663_430515.html,Acusado un exguardia de las SS de ser cómplice del asesinato de 17.000 judíos,Ana Carbajosa,2017-10-20T16:24:32+02:00,"Los cómplices del Holocausto siguen cayendo con cuentagotas. La Fiscalía de Fráncfort ha imputado este viernes a un hombre de 96 años, acusado de ejercer de guardián en el campo de concentración de Lublin-Madjanek, en Polonia, y de ser cómplice del asesinato de 17.000 judíos. Las ejecuciones masivas de Madjanek constituyen uno de los crímenes más salvajes del genocidio nazi, en el que fueron asesinados seis millones de judíos. Esta acusación se enmarca en el esfuerzo de la justicia alemana por juzgar a los cómplices del Holocausto antes de que mueran.",1
https://elpais.com/internacional/2017/10/20/actualidad/1508503663_430515.html,Acusado un exguardia de las SS de ser cómplice del asesinato de 17.000 judíos,Ana Carbajosa,2017-10-20T16:24:32+02:00,"Corría el año 1943. El acusado tenía entonces 22 años y era uno de los oficiales de las SS encargado de la seguridad del campo de Madjanek. Debía vigilar a los presos que luego morirían ejecutados, según detalla el comunicado de la Fiscalía de Fráncfort hecho público este jueves.",2
